#,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
1,Itsuki Murabayashi,Golden Eagles (NPB),27,76,281,300,90,80,7,0,3,18,31,13,2,54,2,2,2,4,4,2,0.32
2,Ryoma Nishikawa,Buffaloes (NPB),30,69,277,293,87,62,20,1,4,26,31,9,1,42,2,1,4,4,4,1,0.314
3,Ryo Ohta,Buffaloes (NPB),24,57,231,259,72,61,6,0,5,24,26,19,3,52,3,1,5,6,0,1,0.312
4,Tatsuru Yanagimachi,Hawks (NPB),28,72,237,281,72,58,10,1,3,26,26,38,0,61,3,0,3,5,1,2,0.304
5,Yuki Okabayashi,Dragons (NPB),23,82,330,366,100,76,17,5,2,41,20,31,5,32,1,2,2,1,14,3,0.303
6,Takumu Nakano,Tigers (NPB),29,84,308,375,93,81,10,2,0,44,19,33,1,41,3,2,29,4,14,3,0.302
7,Sandro Fabian,Carp (NPB),27,81,324,340,97,68,19,0,10,40,41,10,2,54,4,2,0,5,2,2,0.299
8,Koji Chikamoto,Tigers (NPB),30,84,348,387,103,84,14,2,3,48,23,36,1,47,1,2,0,1,23,5,0.296
9,Yutaro Sugimoto,Buffaloes (NPB),34,68,237,267,69,47,13,1,8,26,32,20,0,68,4,6,0,5,1,0,0.291
10,Kaito Kozono,Carp (NPB),25,80,310,342,90,70,15,3,2,30,25,28,5,28,2,1,1,5,7,3,0.29
11,Ukyo Shuto,Hawks (NPB),29,56,222,250,64,52,9,2,1,28,21,24,2,43,3,0,1,3,19,3,0.288
12,Teruaki Sato,Tigers (NPB),26,83,323,355,93,45,21,4,23,49,60,31,5,95,0,1,0,3,8,2,0.288
13,Yuta Izuguchi,Giants (NPB),26,74,285,320,81,66,11,0,4,27,19,27,1,37,1,1,6,4,3,4,0.284
14,Tyler Nevin,Lions (NPB),28,81,301,337,85,60,17,0,8,28,36,25,3,43,7,4,0,6,2,1,0.282
15,Franmil Reyes,Fighters (NPB),29,75,277,307,78,48,13,0,17,34,51,29,2,68,0,1,0,6,0,0,0.282
16,Kyota Fujiwara,Marines (NPB),25,69,256,284,72,59,6,4,3,22,17,20,1,47,5,0,3,2,7,3,0.281
17,Shugo Maki,BayStars (NPB),27,81,318,344,89,53,21,0,15,41,46,16,5,65,9,1,0,5,3,3,0.28
18,Naoki Yoshikawa,Giants (NPB),30,82,312,351,86,68,12,3,3,27,25,31,0,47,4,3,1,6,7,2,0.276
19,Shogo Sakakura,Carp (NPB),27,55,190,219,52,35,13,1,3,21,20,22,1,37,2,1,4,4,1,0,0.274
20,Keita Sano,BayStars (NPB),30,79,296,324,81,61,14,0,6,23,37,25,1,32,1,2,0,6,0,0,0.274
21,Domingo Santana,Swallows (NPB),32,60,212,240,58,44,11,0,3,25,15,25,0,65,3,0,0,4,1,1,0.274
22,Natsuo Takizawa,Lions (NPB),21,64,190,219,51,49,2,0,0,12,7,14,0,34,1,0,14,2,10,4,0.268
23,Kotaro Kiyomiya,Fighters (NPB),26,79,306,333,82,59,17,0,6,34,34,23,0,43,1,3,0,4,4,1,0.268
24,Yusuke Ohyama,Tigers (NPB),30,84,310,351,83,65,13,1,4,23,40,38,2,57,1,2,0,8,4,1,0.268
25,Shota Morishita,Tigers (NPB),24,84,327,371,87,60,11,1,15,50,59,32,4,50,9,3,0,12,4,2,0.266
26,Ryusei Terachi,Marines (NPB),19,62,222,235,59,44,10,0,5,21,19,6,1,36,5,1,1,5,0,0,0.266
27,Seiji Uebayashi,Dragons (NPB),29,81,290,312,77,52,11,3,11,29,29,15,6,57,2,1,4,0,17,4,0.266
28,Yuma Tongu,Buffaloes (NPB),28,76,283,317,74,52,14,0,8,24,36,28,2,44,3,3,0,7,1,0,0.261
29,Yuki Nomura,Fighters (NPB),25,55,203,223,53,34,11,1,7,17,23,17,0,40,2,1,0,4,1,1,0.261
30,Manaya Nishikawa,Lions (NPB),26,81,326,361,85,65,15,1,4,38,18,26,1,49,5,2,2,2,18,5,0.261
